Food,Grams,Calories,fat,Carbs,Protein,Potassium (mg),Sodium (mg),Cholesterol (mg)
whole milk,244,149,7.9,12,7.7,322,105,24
vegetable oil,15,120,13.6,0,0,0,0,0
uncooked rice,100,360,0.6,80,7,115,1,0
uncooked bacon,28,150,11,0.4,3.5,55,185,18
sunflower oil,15,120,13.6,0,0,0,0,0
spring roll,100,250,10,30,8,150,400,20
steak,100,250,17,0,26,318,55,80
salmon,100,206,12,0,22,363,59,55
popcorn,100,387,4.3,78,13,329,8,0
peanut butter,32,190,16,6,8,180,150,0
egg,50,70,5,0.6,6.3,60,70,185
banana,120,105,0.4,27,1.3,422,1,0
broccoli,100,34,0.4,7,2.8,316,33,0
tuna,100,130,3,0,28,252,50,45
chicken breast,100,165,3.6,0,31,256,74,85
sweet potatoes,100,86,0.1,20,1.6,337,55,0
apples,100,52,0.2,14,0.3,107,1,0
avocados,100,160,15,9,2,485,7,0
scallions,15,5,0,1,0.3,40,2,0
coconut water,240,45,0,11,0.5,600,25,0
kiwi,75,46,0.4,11,0.9,230,2,0
white bread,25,65,1,12,2,30,130,0
macaroni,100,371,1.5,75,13,120,1,0
lambda salad;100;45;1.2;8.5;3.0;150;40;0
